Answers_ID,value,label,explanation
FAO_AID:P18T12,UO,Unconsolidated rock: organic,
FAO_AID:P18T12,UO1,Unconsolidated organic rock: rainwater-fed moor peat,
FAO_AID:P18T12,UO2,Unconsolidated organic rock: groundwater-fed bog peat,
FAO_AID:P18T12,UA,Unconsolidated anthropogenic/technogenic rock,
FAO_AID:P18T12,UA1,Unconsolidated anthropogenic/technogenic rock: redeposited natural material,
FAO_AID:P18T12,UA2,Unconsolidated anthropogenic/technogenic rock: industrial/artisanal deposits,
FAO_AID:P18T12,UU,Unconsolidated and unspecified deposits,
FAO_AID:P18T12,UU1,Unconsolidated and unspecified deposits: clay,
FAO_AID:P18T12,UU2,Unconsolidated and unspecified deposits: loam and silt,
FAO_AID:P18T12,UU3,Unconsolidated and unspecified deposits: sand,
FAO_AID:P18T12,UU4,Unconsolidated and unspecified deposits: gravelly sand,
FAO_AID:P18T12,UU5,"Unconsolidated and unspecified deposits: gravel, broken rock",
FAO_AID:P18T12,UY,Unconsolidated rock: hardened laterite and ferruginous materials,
FAO_AID:P18T12,UX,Unconsolidated rock: soft laterite and ferruginous materials,
FAO_AID:P19T13,vYn,"Very young (1–10 years) natural: with loss by erosion or deposition of materials such as on tidal flats, of coastal dunes, in river valleys, landslides or desert areas.",
FAO_AID:P19T13,vYa,"Very young (1–10 years) anthropogeomorphic: with complete disturbance of natural surfaces (and soils) such as in urban, industrial and mining areas with very early soil development from fresh natural or technogenic or mixed materials.",
FAO_AID:P19T13,Yn,"Young (10–100 years) natural: with loss by erosion or deposition of materials such as on tidal flats, of coastal dunes, river valleys, landslides or desert areas.",
FAO_AID:P19T13,Ya,"Young (10–100 years) anthropogeomorphic: with complete disturbance of any natural surfaces (and soils) such as in urban, industrial and mining areas with early soil development from fresh natural, technogenic or a mixture of materials, or restriction of flooding by dykes.",
FAO_AID:P19T13,Hn,"Holocene (100–10 000 years) natural: with loss by erosion or deposition of materials such as on tidal flats, of coastal dunes, in river valleys, landslides or desert areas.",
FAO_AID:P19T13,Ha,"Holocene (100–10 000 years) anthropogeomorphic: human-made relief modifications, such as terracing of forming hills or walls by early civilizations or during the Middle Ages or earlier, restriction of flooding by dykes, or surface raising.",
FAO_AID:P19T13,lPi,"Late Pleistocene, ice covered, commonly recent soil formation on fresh materials.",
FAO_AID:P19T13,lPp,"Late Pleistocene, periglacial, commonly recent soil formation on preweathered materials.",
FAO_AID:P19T13,lPf,"Late Pleistocene, without periglacial influence.",
FAO_AID:P19T13,oPi,"Older Pleistocene, ice covered, commonly the recent soil formation on younger over older, preweathered materials.",
FAO_AID:P19T13,oPp,"Older Pleistocene, with periglacial influence, commonly the recent soil formation on younger over older, preweathered materials.",
FAO_AID:P19T13,oPf,"Older Pleistocene, without periglacial influence.",
FAO_AID:P19T13,T,"Tertiary land surfaces, commonly high planes, terraces or peneplains, except incised valleys, frequent occurrence of palaeosoils.",
FAO_AID:P19T13,O,"Older, pre-Tertiary land surfaces, commonly high planes, terraces or peneplains, except incised valleys, frequent occurrence of palaeosoils.",
FAO_AID:P21T14L,N,None (0%),
FAO_AID:P21T14L,V,Very few (0%-2%),
FAO_AID:P21T14L,F,Few (2%-5%),
FAO_AID:P21T14L,C,Common (5%-15%),
FAO_AID:P21T14L,M,Many (15%-40%),
FAO_AID:P21T14L,A,Abundant (40%-80%),
FAO_AID:P21T14L,D,Dominant (> 80%),
FAO_AID:P21T14R,1,> 50 m,
FAO_AID:P21T14R,2,20-50 m,
FAO_AID:P21T14R,3,5-20 m,
FAO_AID:P21T14R,4,2-5 m,
FAO_AID:P21T14R,5,< 2 m,
FAO_AID:P22T15R,F,Fine gravel (0.2-0.6 cm),
FAO_AID:P22T15R,M,Medium gravel (0.6-2.0 cm),
FAO_AID:P22T15R,C,Coarse gravel (2-6 cm),
FAO_AID:P22T15R,S,Stones (6-20 cm),
FAO_AID:P22T15R,B,Boulders (20-60 cm),
FAO_AID:P22T15R,L,Large boulders (60-200 cm),
FAO_AID:P22T16,N,No visible evidence of erosion,
FAO_AID:P22T16,S,Sheet erosion,
FAO_AID:P22T16,R,Rill erosion,
FAO_AID:P22T16,G,Gully erosion,
FAO_AID:P22T16,T,Tunnel erosion,
FAO_AID:P22T16,P,Deposition by water,
FAO_AID:P22T16,W,Wind and water erosion,
FAO_AID:P22T16,A,Wind erosion and deposition,
FAO_AID:P22T16,L,Wind deposition,
FAO_AID:P22T16,D,Shifting sand,
FAO_AID:P22T16,Z,Salt deposition,
FAO_AID:P22T16,U,Type of erosion unknown,
FAO_AID:P22T17,0,0%,
FAO_AID:P22T17,1,0%-5%,
FAO_AID:P22T17,2,5%-10%,
FAO_AID:P22T17,3,10%-25%,
FAO_AID:P22T17,4,25%-50%,
FAO_AID:P22T17,5,> 50%,
FAO_AID:P22T18,S,Slight,Some evidence of damage to surface horizons. Original biotic functions largely intact.
FAO_AID:P22T18,M,Moderate,Clear evidence of removal of surface horizons. Original biotic functions partly destroyed.
FAO_AID:P22T18,V,Severe,Surface horizons completely removed and subsurface horizons exposed. Original biotic functions largely destroyed.
FAO_AID:P22T18,E,Extreme,Substantial removal of deeper subsurface horizons (badlands). Original biotic functions fully destroyed.
FAO_AID:P23T19,A,Active at present,
FAO_AID:P23T19,R,Active in recent past (previous 50-100 years),
FAO_AID:P23T19,H,Active in historical times,
FAO_AID:P23T19,N,Period of activity not known,
FAO_AID:P23T19,X,Accelerated and natural erosion not distinguished,
FAO_AID:P23T20L,N,None,
FAO_AID:P23T20L,F,Thin (< 2 mm),
FAO_AID:P23T20L,M,Medium (2-5 mm),
FAO_AID:P23T20L,C,Thick (5-20 mm),
FAO_AID:P23T20L,V,Very thick (> 20 mm),
FAO_AID:P23T20R,S,Slightly hard,
FAO_AID:P23T20R,H,Hard,
FAO_AID:P23T20R,V,Very hard,
FAO_AID:P23T20R,E,Extremely hard,
FAO_AID:P24T21A,F,Fine (< 1 cm),
FAO_AID:P24T21A,M,Medium (1-2 cm),
FAO_AID:P24T21A,W,Wide (2-5 mm),
FAO_AID:P24T21A,V,Very wide (5-10 cm),
FAO_AID:P24T21A,E,Extremely wide (> 10 cm),
FAO_AID:P23T21B,D,Deep (10-20 cm),
FAO_AID:P23T21B,S,Surface (< 2 cm),
FAO_AID:P23T21B,M,Medium (2-10 cm),
FAO_AID:P23T21B,V,Very deep (> 20 cm),
FAO_AID:P23T21B,C,Very closely spaced (< 0.2 m),
FAO_AID:P23T21C,D,Closely space (0.2-0.5 m),
FAO_AID:P23T21C,M,Moderately widely spaced (0.5-2.0 m),
FAO_AID:P23T21C,W,Widely spaced (2-5 m),
FAO_AID:P23T21C,V,Very widely spaced (> 5 m),
FAO_AID:P24T23,0,None (0-2%),
FAO_AID:P24T23,1,Low (2-15%),
FAO_AID:P24T23,2,Moderate (15-40%),
FAO_AID:P24T23,3,High (40-80%),
FAO_AID:P24T23,4,Dominant (> 80%),
FAO_AID:P25T24L,A,Abrupt (0-2 cm),
FAO_AID:P25T24L,C,Clear (2-5 cm),
FAO_AID:P25T24L,G,Gradual (5-15 cm),
FAO_AID:P25T24L,D,Diffuse (> 15 cm),
FAO_AID:P25T24R,S,Smooth; nearly plane surface,
FAO_AID:P25T24R,W,Wavy; pockets less deep than wide,
FAO_AID:P25T24R,I,Irregular; pockets more deep than wide,
FAO_AID:P25T24R,B,Broken; discontinuous,
FAO_AID:P67,H,H horizon/layer,
FAO_AID:P67,O,O horizon/layer,
FAO_AID:P67,A,A horizon,
FAO_AID:P67,E,E horizon,
FAO_AID:P67,B,B horizon,
FAO_AID:P67,C,C horizon/layer,
FAO_AID:P67,R,R layer,
FAO_AID:P67,I,I Layer,
FAO_AID:P67,L,L Layer,
FAO_AID:P67,W,Water Layer,
FAO_AID:P67,AB,AB mixed layer,
FAO_AID:P67,BA,BA mixed layer,
FAO_AID:P67,EB,EB mixed layer,
FAO_AID:P67,BE,BE mixed layer,
FAO_AID:P67,BC,BC mixed layer,
FAO_AID:P67,E/B,E/B mixed layer,
FAO_AID:P67,B/E,B/E mixed layer,
FAO_AID:P67,B/C,B/C mixed layer,
FAO_AID:P67,C/R,C/R mixed layer,
FAO_AID:P72T85,A,Highly decomposed organic material (a),H and O horizons
FAO_AID:P72T85,B,Buried genetic horizon (b),"mineral horizons, not cryoturbated"
FAO_AID:P72T85,C,Concretions or nodules (c),mineral horizons
FAO_AID:P72T85,C1,Coprogenous earth (c),L horizon
FAO_AID:P72T85,D,Dense layer (physically root restrictive) (d),"mineral horizons, not with m"
FAO_AID:P72T85,D1,Diatomaceous earth (d),L horizon
FAO_AID:P72T85,E,Moderately decomposed organic material (e),H and O horizons
FAO_AID:P72T85,F,Frozen soil (f),not in I and R horizons
FAO_AID:P72T85,G,Stagnic conditions (g),no restriction
FAO_AID:P72T85,H,Accumulation of organic matter (h),mineral horizons
FAO_AID:P72T85,I,Slickensides (i),mineral horizons
FAO_AID:P72T85,I1,Slightly decomposed organic material (i),H and O horizons
FAO_AID:P72T85,J,Jarosite accumulation (j),no restriction
FAO_AID:P72T85,K,Accumulation of pedogenetic carbonates (k),no restriction
FAO_AID:P72T85,L,Capillary fringe mottling (gleying) (l),no restriction
FAO_AID:P72T85,M,"Strong cementation or induration (pedogenetic, massive) (m)",mineral horizons
FAO_AID:P72T85,M1,Marl (m),L horizon
FAO_AID:P72T85,N,Pedogenetic accumulation of exchangeable sodium (n),no restriction
FAO_AID:P72T85,O,Residual accumulation of sesquioxides (pedogenetic) (o),no restriction
FAO_AID:P72T85,P,Ploughing or other human disturbance (p),"no restriction, E, B or C as Ap"
FAO_AID:P72T85,Q,Accumulation of pedogenetic silica (q),no restriction
FAO_AID:P72T85,R,Strong reduction (r),no restriction
FAO_AID:P72T85,S,Illuvial accumulation of sesquioxides (s),B horizons
FAO_AID:P72T85,T,Illuvial accumulation of silicate clay (t),B and C horizons
FAO_AID:P72T85,U,Urban and other human-made materials (u),"H, O, A, E, B and C horizons"
FAO_AID:P72T85,V,Occurrence of plinthite (v),no restriction
FAO_AID:P72T85,W,Development of colour or structure (w),B horizons
FAO_AID:P72T85,X,Fragipan characteristics (x),no restriction
FAO_AID:P72T85,Y,Pedogenetic accumulation of gypsum (y),no restriction
FAO_AID:P72T85,Z,Pedogenetic accumulation of salts more soluble than gypsum (z),no restriction
FAO_AID:P72T85,AT,Evidence of cryoturbation (@),no restriction
FAO_AID:P81T86L,ALB,Albic horizon,
FAO_AID:P81T86L,ANT,Anthraquic horizon,
FAO_AID:P81T86L,ANT,Anthric horizon,
FAO_AID:P81T86L,ARG,Argic horizon,
FAO_AID:P81T86L,CAL,Calcic horizon,
FAO_AID:P81T86L,CAM,Cambic horizon,
FAO_AID:P81T86L,CRY,Cryic horizon,
FAO_AID:P81T86L,DUR,Duric horizon,
FAO_AID:P81T86L,FRL,Ferralic horizon,
FAO_AID:P81T86L,FER,Ferric horizon,
FAO_AID:P81T86L,FOL,Folic horizon,
FAO_AID:P81T86L,FRA,Fragic horizon,
FAO_AID:P81T86L,FUL,Fulvic horizon,
FAO_AID:P81T86L,GYP,Gypsic horizon,
FAO_AID:P81T86L,HIS,Histic horizon,
FAO_AID:P81T86L,HOR,Hortic horizon,
FAO_AID:P81T86L,HYD,Hydragric horizon,
FAO_AID:P81T86L,IRR,Irragric horizon,
FAO_AID:P81T86L,MEL,Melanic horizon,
FAO_AID:P81T86L,MOL,Mollic horizon,
FAO_AID:P81T86L,NAT,Natric horizon,
FAO_AID:P81T86L,NIT,Nitic horizon,
FAO_AID:P81T86L,PET,Petrocalcic horizon,
FAO_AID:P81T86L,PTD,Petroduric horizon,
FAO_AID:P81T86L,PTG,Petrogypsic horizon,
FAO_AID:P81T86L,PTP,Petroplinthic horizon,
FAO_AID:P81T86L,PIS,Pisoplinthic horizon,
FAO_AID:P81T86L,PLA,Plaggic horizon,
FAO_AID:P81T86L,PLI,Plinthic horizon,
FAO_AID:P81T86L,SAL,Salic horizon,
FAO_AID:P81T86L,SOM,Sombric horizon,
FAO_AID:P81T86L,SPO,Spodic horizon,
FAO_AID:P81T86L,TAK,Takyric horizon,
FAO_AID:P81T86L,TER,Terric horizon,
FAO_AID:P81T86L,THI,Thionic horizon,
FAO_AID:P81T86L,UMB,Umbric horizon,
FAO_AID:P81T86L,VER,Vertic horizon,
FAO_AID:P81T86L,VOR,Voronic horizon,
FAO_AID:P81T86L,YER,Yermic horizon,
FAO_AID:P81T86R,NI,nitic properties,"Soil material that has 30% or more clay, has a moderately strong angular blocky structure which falls easily apart into flat edged ('polyhedric' or 'nutty') elements which show shiny ped faces that are either thin clay coatings or pressure faces. This soil structure is apparently associated with the presence of significant amounts of active iron oxides and is indicative of a high effective moisture storage and favourable phosphate sorption - desorption properties."
FAO_AID:P81T86R,TC,abrupt textural change,"A clay increase between two layers, which takes place over a distance of less than 5 cm, where the lower layer shows a clay content of twice the clay content of the overlying layer if the latter has less than 20% clay, or an increase of 20% or more if the latter has 20% clay or more."
FAO_AID:P81T86R,HU,strongly humic,Soil material with an organic carbon content of more than 14 g/kg fine earth as a weighted average over a depth of 100 cm from the surface. This calculation assumes a bulk density of 1.5 kg dm-3.
FAO_AID:P81T86R,AD,andic properties,"Soil materials which meet one or more of the following requirements: 1) acid oxalate extractable Al plus 1/2 acid oxalate extractable Fe is 2.0% or more in the fine earth fraction; bulk density of the fine earth fraction, measured in the field moist state, is 0.9 kg dm-3 or less; phosphate retention is more than 85%. 2) more than 60% by volume of the whole soil is volcani-clastic material coarser than 2 mm; acid oxalate extractable Al plus 1/2 acid oxalate extractable Fe is 0.40% or more in the fine earth fraction. 3) the 0.02 to 2.0 mm fraction is at least 30% of the fine earth fraction and meets one of the following: a) if the fine earth fraction has acid oxalate extractable Al plus 1/2 acid oxalate extractable Fe of 0.40% or less, there is at least 30% volcanic glass in the 0.02 to 2.0 mm fraction; or b) if the fine earth fraction has acid oxalate extractable Al plus 1/2 acid oxalate extractable Fe of 2.0% or more, there is at least 5% volcanic glass in the 0.02 to 2.0 mm fraction; or c) if the fine earth fraction has acid oxalate extractable Al plus 1/2 acid oxalate extractable Fe of between 0.40 and 2.0%, there is a proportional content of volcanic glass in the 0.02 to 2.0 mm fraction between 30 and 5%."
FAO_AID:P81T86R,CO,calcareous,Soil material which shows strong effervescence with 10% HCl or which contains more than 2% calcium carbonate equivalent.
FAO_AID:P81T86R,CA,calcaric,Soils which are calcareous throughout the depth between 20 and 50 cm.
FAO_AID:P81T86R,RO,continuous hard rock,"The underlying material is sufficiently coherent and hard when moist to make hand digging with a spade impractable. The material is continuous except for a few cracks produced in place without significant displacement of the pieces and horizontally distant to an average of 10 cm or more. The material considered here does not include subsurface horizons such as a duripan, a petrocalcic or a petrogypsic horizon or a petroferric phase."
FAO_AID:P81T86R,FA,ferralic properties,The term 'ferralic properties' is used in connection with Cambisols and Arenosols which have a CEC of less than 240 mmolc kg-1 clay or less than 40 mmolc kg-1 soil in at least one subhorizon of the cambic horizon or the horizon immediately underlying the A horizon.
FAO_AID:P81T86R,FI,ferric properties,"Many coarse mottles with hues redder than 7.5YR or chromas more than 5 or both; discrete nodules, up to 2 cm in diameter, the exteriors of the nodules being enriched and weakly cemented or indurated with Fe and having redder hues or stronger chromas than the interiors (Luvisols, Alisols, Lixisols and Acrisols)."
FAO_AID:P81T86R,FL,fluvic properties,"Fluviatile, marine and lacustrine sediments, which receive fresh materials at regular intervals, and which, unless empoldered, have one or both of the following properties: 1) an organic carbon content that decreases irregularly with depth or that remains above 0.20% to a depth of 125 cm. Thin strata of sand may have less organic carbon if the finer sediments below, exclusive of buried horizons, meet the requirement; 2) stratification in at least 25% of the soil within 125 cm of the surface."
FAO_AID:P81T86R,GE,geric properties,"Soil materials which have either: 1) 1.5 cmolc kg-1 clay or less exchangeable bases (Ca, Mg, K, Na) plus unbuffered 1M KCl exchangeable acidity; or 2) a delta pH (pH KCl minus pH H2O) of +0.1 or more."
FAO_AID:P81T86R,GL,gleyic and stagnic properties,"Soil materials which are saturated with water at some period of the year, or throughout the year, in most years, and which show evidence of reduction processes or of reduction and segregation of iron."
FAO_AID:P81T86R,GY,gypsiferous,Soil material which contains 5% or more gypsum.
FAO_AID:P81T86R,IN,interfingering,"Penetrations of an albic horizon into an underlying argic or natric horizon along ped faces, primarily vertical faces. The penetrations are not wide enough to constitute tonguing, but form continuous skeletans (ped coatings of clean silt or sand, more than 1 mm thick on the vertical ped faces)."
FAO_AID:P81T86R,OR,organic soil materials,"Organic soil materials are: 1) saturated with water for long periods or are artificially drained and, excluding live roots, a) have 18% or more organic carbon if the mineral fraction is 60% or more clay, b) have 12% or more organic carbon if the mineral fraction has no clay, or c) have a proportional content of organic carbon between 12 and 18% if the clay content of the mineral fraction is less than 60%; or 2) never saturated with water for more than a few days and have 20% or more organic carbon."
FAO_AID:P81T86R,PE,permafrost,Permafrost is a layer in which the temperature is perennially at or below 0oC.
FAO_AID:P81T86R,PL,plinthite,"Plinthite is an iron-rich, humus-poor mixture of clay with quartz and other diluents. It commonly occurs as red mottles, usually in platy, polygonal or reticulate patterns, and changes irreversibly to a hardpan or to irregular aggregates on exposure to repeated wetting and drying. In a moist soil, plinthite is usually firm but it can be cut with a spade. When irreversibly hardened the material is no longer considered plinthite. Such hardened material is shown as a petroferric or a skeletic phase."
FAO_AID:P81T86R,SA,salic properties,"The electric conductivity of the saturation extract is more than 15 dS m-1 within 30 cm of the surface, or more than 4 dS m-1 within 30 cm of the surface if the pH-H2O exceeds 8.5."
FAO_AID:P81T86R,SI,slickensides,Slickensides are polished and grooved surfaces that are produced by one mass sliding past another. Some of them occur at the base of a slip surface where a mass of soil moves downward on a relatively steep slope. Slickensides are very common in swelling clays in which there are marked seasonal changes in moisture content.
FAO_AID:P81T86R,SM,smeary consistence,Thixotropic soil material; it changes under pressure or by rubbing from a plastic solid into a liquefied stage and back to the solid condition. In the liquefied stage the material skids or smears between the fingers (Andosols).
FAO_AID:P81T86R,SO,sodic properties,"The exchangeable sodium percentage is 15% or more, or exchangeable sodium plus magnesium is 50% or more."
FAO_AID:P81T86R,SL,soft lime,"Translocated authigenic lime, soft enough to be cut readily with finger powdery nail, precipitated in place from the soil solution rather than inherited from a soil parent material. It should be present in a significant accumulation (coatings on pores or structural faces)."
FAO_AID:P81T86R,SU,sulphidic materials,"Sulphidic materials are waterlogged mineral or organic soil materials containing 0.75% or more sulphur (dry weight), mostly in the form of sulphides, having less than three times as much calcium carbonate equivalent as sulphur, and having a pH above 3.5. Sulphidic materials accumulate in a soil that is permanently saturated and having a pH above 3.5, generally with brackish water. If the soil is drained the sulphides oxidize to form sulphuric acid. The pH, which is normally near neutrality before drainage, drops below 3.5. At this point these materials become a sulphuric horizon. Sulphidic material differs from the sulphuric horizon in its reduced condition, its pH and the absence of jarosite mottles with a hue of 2.5Y or more or a chroma of 6 or more."
FAO_AID:P81T86R,TO,tonguing,"An albic horizon penetrates an argic horizon along ped surfaces, if peds are present. Tongues must have greater depth than width, have horizontal dimensions of 5 mm or more in fine textured argic horizons (clay, silty clay and sandy clay), 10 mm or more in moderately fine textured argic horizons, and 15 mm or more in medium or coarser textured argic horizons (silt loams, loams and sandy loams), and must occupy more than 15% of the mass of the upper part of the argic horizon."
FAO_AID:P81T86R,VE,vertic properties,"In connection with clayey soils which at some period in most years show one or more of the following: cracks, slickensides, wedge-shaped or parallelepiped structural aggregates, that are not in a combination, or are not sufficiently expressed, for the soils to qualify as Vertisols."
FAO_AID:P81T86R,WM,weatherable minerals,"Minerals included are those that are unstable in a humid climate relative to other minerals, such as quartz and 1:1 lattice clays, and that, when weathering occurs, liberate plant nutrients and iron or aluminium. They include: 1) clay minerals: all 2:1 lattice clays except aluminium-interlayered chlorite. Sepiolite, talc and glauconite are also included in the meaning of this group of weatherable clay minerals, although they are not always of clay size. 2) silt- and sand-size minerals: feldspars, feldspathoids, ferromagnesian minerals, glasses, micas, and zeolites."
FAO_AID:P27F4,S,Sand,
FAO_AID:P27F4,LS,Loamy sand,
FAO_AID:P27F4,SL,Sandy loam,
FAO_AID:P27F4,SiL,Silty loam,
FAO_AID:P27F4,Si,Silt,
FAO_AID:P27F4,L,Loam,
FAO_AID:P27F4,SCL,Sandy clay loam,
FAO_AID:P27F4,CL,Clay loam,
FAO_AID:P27F4,SiCL,Silty clay loam,
FAO_AID:P27F4,SC,Sandy clay,
FAO_AID:P27F4,SiC,Silty clay,
FAO_AID:P27F4,C,Clay,
FAO_AID:P27F4,HC,Heavy clay,
FAO_AID:P27F4B,V,Very fine sand,50% or more very fine sand (and less than 25% coarse and very coarse sand).
FAO_AID:P27F4B,F,Fine sand,50% or more fine and very fine sand (and less than 25% coarse and very coarse sand).
FAO_AID:P27F4B,C,Coarse sand,"25% or more very coarse and coarse sand, and less than 50% medium sand and less than 50% fine and very fine sand."
FAO_AID:P27F4B,M,Medium sand,"Either 50% or more medium sand, or 25% or more medium sand with less than 25% coarse and very coarse sand and less than 50% fine and very fine sand."
FAO_AID:P27F4B,U,Unsorted sand,
FAO_AID:P29T26,N,None (0%),
FAO_AID:P29T26,V,Very few (0-2%),
FAO_AID:P29T26,F,Few (2-5%),
FAO_AID:P29T26,C,Common (5-15%),
FAO_AID:P29T26,M,Many (15-40%),
FAO_AID:P29T26,A,Abundant (40-80%),
FAO_AID:P29T26,D,Dominant (= 80%),
FAO_AID:P29T26,S,"Stone line (any content, but concentrated at a distinct depth of a horizon)",
FAO_AID:P30T27L,F,Fine gravel (2-6 mm),
FAO_AID:P30T27L,FM,Fine and medium gravel 2-20 mm),
FAO_AID:P30T27L,M,Medium gravel (6-20 mm),
FAO_AID:P30T27L,MC,Medium and coarse gravel (6-60 mm),
FAO_AID:P30T27L,C,Coarse gravel (20-60 mm),
FAO_AID:P30T27L,CS,Coarse gravel and stones (20-200 mm),
FAO_AID:P30T27L,S,Stones (60-200 mm),
FAO_AID:P30T27L,SB,Stones and boulders (60-600 mm),
FAO_AID:P30T27L,B,Boulders (200-600 mm),
FAO_AID:P30T27L,BL,Boulders and large boulders (> 200 mm),
FAO_AID:P30T27L,L,Large boulders (> 600 mm),
FAO_AID:P31T29,F,Fresh or slightly weathered,Fragments show little or no signs of weathering.
FAO_AID:P31T29,W,Weathered,Partial weathering is indicated by discoloration and loss of crystal form in the outer parts of the fragments while the centres remain relatively fresh and the fragments have lost little of their original strength.
FAO_AID:P31T29,S,Strongly weathered,"All but the most resistant minerals are weathered, strongly discoloured and altered throughout the fragments, which tend to disintegrate under only moderate pressure."
FAO_AID:155,10R 4/1,10R 4/1 (dark reddish grey),
FAO_AID:155,10R 4/2,10R 4/2 (weak red),
FAO_AID:155,10R 4/3,10R 4/3 (weak red),
FAO_AID:155,10R 4/4,10R 4/4 (weak red),
FAO_AID:155,10R 4/6,10R 4/6 (red),
FAO_AID:155,10R 4/8,10R 4/8 (red),
FAO_AID:155,10R 5/1,10R 5/1 (reddish grey),
FAO_AID:155,10R 5/2,10R 5/2 (weak red),
FAO_AID:155,10R 5/3,10R 5/3 (weak red),
FAO_AID:155,10R 5/4,10R 5/4 (weak red),
FAO_AID:155,10R 5/6,10R 5/6 (red),
FAO_AID:155,10R 5/8,10R 5/8 (red),
FAO_AID:155,10R 6/1,10R 6/1 (reddish grey),
FAO_AID:155,10R 6/2,10R 6/2 (pale red),
FAO_AID:155,10R 6/3,10R 6/3 (pale red),
FAO_AID:155,10R 6/4,10R 6/4 (pale red),
FAO_AID:155,10R 6/6,10R 6/6 (light red),
FAO_AID:155,10R 6/8,10R 6/8 (light red),
FAO_AID:155,10Y 3/1,10Y 3/1 (olive),
FAO_AID:155,10Y 4/1,10Y 4/1 (grey),
FAO_AID:155,10Y 4/2,10Y 4/2 (olive grey),
FAO_AID:155,10Y 5/1,10Y 5/1 (grey),
FAO_AID:155,10Y 5/2,10Y 5/2 (olive grey),
FAO_AID:155,10Y 5/4,10Y 5/4 (- blank -),
FAO_AID:155,10Y 6/1,10Y 6/1 (grey),
FAO_AID:155,10Y 6/2,10Y 6/2 (olive grey),
FAO_AID:155,10Y 6/4,10Y 6/4 (- blank -),
FAO_AID:155,10Y 6/6,10Y 6/6 (- blank -),
FAO_AID:155,10Y 6/8,10Y 6/8 (- blank -),
FAO_AID:155,10Y 7/1,10Y 7/1 (light grey),
FAO_AID:155,10Y 7/2,10Y 7/2 (light grey),
FAO_AID:155,10Y 7/4,10Y 7/4 (- blank -),
FAO_AID:155,10Y 7/6,10Y 7/6 (- blank -),
FAO_AID:155,10Y 7/8,10Y 7/8 (- blank -),
FAO_AID:155,10Y 8/1,10Y 8/1 (light grey),
FAO_AID:155,10Y 8/10,10Y 8/10 (- blank -),
FAO_AID:155,10Y 8/2,10Y 8/2 (light grey),
FAO_AID:155,10Y 8/4,10Y 8/4 (- blank -),
FAO_AID:155,10Y 8/6,10Y 8/6 (- blank -),
FAO_AID:155,10Y 8/8,10Y 8/8 (- blank -),
FAO_AID:155,10YR 2/1,10YR 2/1 (black),
FAO_AID:155,10YR 2/2,10YR 2/2 (very dark brown),
FAO_AID:155,10YR 3/1,10YR 3/1 (very dark grey),
FAO_AID:155,10YR 3/2,10YR 3/2 (very dark greyish brown),
FAO_AID:155,10YR 3/3,10YR 3/3 (dark brown),
FAO_AID:155,10YR 3/4,10YR 3/4 (dark yellowish brown),
FAO_AID:155,10YR 3/6,10YR 3/6 (dark yellowish brown),
FAO_AID:155,10YR 4/1,10YR 4/1 (dark grey),
FAO_AID:155,10YR 4/2,10YR 4/2 (dark greyish brown),
FAO_AID:155,10YR 4/3,10YR 4/3 ((dark) brown),
FAO_AID:155,10YR 4/4,10YR 4/4 (dark yellowish brown),
FAO_AID:155,10YR 4/6,10YR 4/6 (dark yellowish brown),
FAO_AID:155,10YR 5/1,10YR 5/1 (grey),
FAO_AID:155,10YR 5/2,10YR 5/2 (greyish brown),
FAO_AID:155,10YR 5/3,10YR 5/3 (brown),
FAO_AID:155,10YR 5/4,10YR 5/4 (yellowish brown),
FAO_AID:155,10YR 5/6,10YR 5/6 (yellowish brown),
FAO_AID:155,10YR 5/8,10YR 5/8 (yellowish brown),
FAO_AID:155,10YR 6/1,10YR 6/1 ((light) grey),
FAO_AID:155,10YR 6/2,10YR 6/2 (light brownish grey),
FAO_AID:155,10YR 6/3,10YR 6/3 (pale brown),
FAO_AID:155,10YR 6/4,10YR 6/4 (light yellowish brown),
FAO_AID:155,10YR 6/6,10YR 6/6 (brownish yellow),
FAO_AID:155,10YR 6/8,10YR 6/8 (brownish yellow),
FAO_AID:155,10YR 7/1,10YR 7/1 (light grey),
FAO_AID:155,10YR 7/2,10YR 7/2 (light grey),
FAO_AID:155,10YR 7/3,10YR 7/3 (very pale brown),
FAO_AID:155,10YR 7/4,10YR 7/4 (very pale brown),
FAO_AID:155,10YR 7/6,10YR 7/6 (yellow),
FAO_AID:155,10YR 7/8,10YR 7/8 (yellow),
FAO_AID:155,10YR 8/1,10YR 8/1 (white),
FAO_AID:155,10YR 8/2,10YR 8/2 (white),
FAO_AID:155,10YR 8/3,10YR 8/3 (very pale brown),
FAO_AID:155,10YR 8/4,10YR 8/4 (very pale brown),
FAO_AID:155,10YR 8/6,10YR 8/6 (yellow),
FAO_AID:155,10YR 8/8,10YR 8/8 (yellow),
FAO_AID:155,2.5Y 2/0,2.5Y 2/0 (black),
FAO_AID:155,2.5Y 3/0,2.5Y 3/0 (very dark grey),
FAO_AID:155,2.5Y 3/2,2.5Y 3/2 (very dark greyish brown),
FAO_AID:155,2.5Y 4/0,2.5Y 4/0 (dark grey),
FAO_AID:155,2.5Y 4/2,2.5Y 4/2 (dark greyish brown),
FAO_AID:155,2.5Y 4/4,2.5Y 4/4 (olive brown),
FAO_AID:155,2.5Y 5/0,2.5Y 5/0 (grey),
